04/01/11 06:56 AM
LadderDrivePower,LineFollowState,GyroAngle,FrontLeftEncoderDistance,AutonomousActiveState,SonarDistance,LadderPosition
79.00,79.00,79.00,79.00,79.00,79.00,79.00,
1.00,1.00,-0.07,79.00,79.00,79.00,0.00,
0.00,1.00,-0.07,79.00,79.00,79.00,0.00,
0.00,1.00,-0.07,79.00,79.00,79.00,0.00,
0.00,1.00,-0.07,79.00,79.00,79.00,0.00,
0.00,1.00,-0.08,79.00,79.00,79.00,0.00,
0.00,1.00,-0.09,79.00,79.00,79.00,0.00,
0.00,1.00,-0.10,79.00,79.00,79.00,0.00,
0.00,1.00,-0.10,79.00,79.00,79.00,0.00,
0.00,1.00,-0.10,79.00,79.00,79.00,0.00,
0.00,1.00,-0.09,79.00,79.00,79.00,0.00,
0.00,1.00,-0.09,79.00,79.00,79.00,0.00,
0.00,1.00,-0.10,79.00,79.00,79.00,0.00,
0.00,1.00,-0.10,79.00,79.00,79.00,0.00,
0.00,1.00,-0.10,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.11,79.00,79.00,79.00,0.00,
0.00,1.00,-0.12,79.00,79.00,79.00,0.00,
0.00,1.00,-0.13,79.00,79.00,79.00,0.00,
0.00,1.00,-0.14,79.00,79.00,79.00,0.00,
0.00,1.00,-0.16,79.00,79.00,79.00,0.00,
0.00,1.00,-0.16,79.00,79.00,79.00,0.00,
0.00,1.00,-0.17,79.00,79.00,79.00,0.00,
0.00,1.00,-0.17,79.00,79.00,79.00,0.00,
0.00,1.00,-0.17,79.00,79.00,79.00,0.00,
0.00,1.00,-0.17,79.00,79.00,79.00,0.00,
0.00,1.00,-0.17,79.00,79.00,79.00,0.00,
0.00,1.00,-0.17,79.00,79.00,79.00,0.00,
0.00,1.00,-0.17,79.00,79.00,79.00,0.00,
0.00,1.00,-0.18,79.00,79.00,79.00,0.00,
0.00,1.00,-0.19,79.00,79.00,79.00,0.00,
0.00,1.00,-0.19,79.00,79.00,79.00,0.00,
0.00,1.00,-0.20,79.00,79.00,79.00,0.00,
0.00,1.00,-0.20,79.00,79.00,79.00,0.00,
0.00,1.00,-0.20,79.00,79.00,79.00,0.00,
0.00,1.00,-0.21,79.00,79.00,79.00,0.00,
0.00,1.00,-0.21,79.00,79.00,79.00,0.00,
0.00,1.00,-0.22,79.00,79.00,79.00,0.00,
0.00,1.00,-0.23,79.00,79.00,79.00,0.00,
0.00,1.00,-0.23,79.00,79.00,79.00,0.00,
0.00,1.00,-0.23,79.00,79.00,79.00,0.00,
0.00,1.00,-0.24,79.00,79.00,79.00,0.00,
0.00,1.00,-0.25,79.00,79.00,79.00,0.00,
0.00,1.00,-0.26,79.00,79.00,79.00,0.00,
0.00,1.00,-0.25,79.00,79.00,79.00,0.00,
0.00,1.00,-0.26,79.00,79.00,79.00,0.00,
0.00,1.00,-0.26,79.00,79.00,79.00,0.00,
0.00,1.00,-0.26,79.00,79.00,79.00,0.00,
0.00,1.00,-0.26,79.00,79.00,79.00,0.00,
